week,forecast,method,sheet_name
2024-07-22,1078.298668035714,ml_rf,MSS 0005 001
2024-07-29,1179.213055873015,ml_rf,MSS 0005 001
2024-08-05,1087.217629642856,ml_rf,MSS 0005 001
2024-08-12,1005.5624184523804,ml_rf,MSS 0005 001
2024-08-19,892.2092554761902,ml_rf,MSS 0005 001
2024-08-26,856.5327816666667,ml_rf,MSS 0005 001
2024-09-02,801.4814742857142,ml_rf,MSS 0005 001
2024-09-09,745.2717722023809,ml_rf,MSS 0005 001
2024-09-16,704.824542599206,ml_rf,MSS 0005 001
2024-09-23,642.4403104563493,ml_rf,MSS 0005 001
2024-09-30,610.1513229563494,ml_rf,MSS 0005 001
2024-10-07,581.4417081944447,ml_rf,MSS 0005 001
2024-07-15,385.1579809632036,ml_rf,MSS 0005 455
2024-07-22,365.84711922619056,ml_rf,MSS 0005 455
2024-07-29,362.4349644155845,ml_rf,MSS 0005 455
2024-08-05,360.97323798701314,ml_rf,MSS 0005 455
2024-08-12,350.9337217370131,ml_rf,MSS 0005 455
2024-08-19,349.8393309036798,ml_rf,MSS 0005 455
2024-08-26,343.7294050703465,ml_rf,MSS 0005 455
2024-09-02,336.34873965367973,ml_rf,MSS 0005 455
2024-09-09,327.3109391179654,ml_rf,MSS 0005 455
2024-09-16,326.4651980465369,ml_rf,MSS 0005 455
2024-09-23,320.7757205465369,ml_rf,MSS 0005 455
2024-09-30,323.4242230465369,ml_rf,MSS 0005 455
2024-07-22,162.26553928571425,ml_rf,MSS 0005 905
2024-07-29,133.0081006547619,ml_rf,MSS 0005 905
2024-08-05,113.20313672619051,ml_rf,MSS 0005 905
2024-08-12,129.86988946428568,ml_rf,MSS 0005 905
2024-08-19,134.25293279761897,ml_rf,MSS 0005 905
2024-08-26,126.60480529761902,ml_rf,MSS 0005 905
2024-09-02,114.61136619047616,ml_rf,MSS 0005 905
2024-09-09,131.67600119047617,ml_rf,MSS 0005 905
2024-09-16,116.34261202380951,ml_rf,MSS 0005 905
2024-09-23,115.26029369047617,ml_rf,MSS 0005 905
2024-09-30,115.0272595238095,ml_rf,MSS 0005 905
2024-10-07,115.19760071428573,ml_rf,MSS 0005 905
2024-07-08,189.4832228571429,ml_rf,MSS 0005 927
2024-07-15,196.92425339285714,ml_rf,MSS 0005 927
2024-07-22,191.19181744047626,ml_rf,MSS 0005 927
2024-07-29,214.05886851190476,ml_rf,MSS 0005 927
2024-08-05,198.70395017857146,ml_rf,MSS 0005 927
2024-08-12,200.47565767857148,ml_rf,MSS 0005 927
2024-08-19,198.3720724404762,ml_rf,MSS 0005 927
2024-08-26,201.05157172619047,ml_rf,MSS 0005 927
2024-09-02,198.91688648809526,ml_rf,MSS 0005 927
2024-09-09,199.09135315476192,ml_rf,MSS 0005 927
2024-09-16,199.27713648809524,ml_rf,MSS 0005 927
2024-09-23,200.51365315476195,ml_rf,MSS 0005 927
2024-07-15,204.17345900793657,ml_rf,RCFPPH 1100 002
2024-07-22,193.56026394841277,ml_rf,RCFPPH 1100 002
2024-07-29,192.75636329365082,ml_rf,RCFPPH 1100 002
2024-08-05,205.39377412698425,ml_rf,RCFPPH 1100 002
2024-08-12,207.43309246031754,ml_rf,RCFPPH 1100 002
2024-08-19,202.37952746031752,ml_rf,RCFPPH 1100 002
2024-08-26,200.70387841269851,ml_rf,RCFPPH 1100 002
2024-09-02,207.55300650793654,ml_rf,RCFPPH 1100 002
2024-09-09,210.54968341269853,ml_rf,RCFPPH 1100 002
2024-09-16,205.3462331746033,ml_rf,RCFPPH 1100 002
2024-09-23,198.89823317460326,ml_rf,RCFPPH 1100 002
2024-09-30,206.89564539682553,ml_rf,RCFPPH 1100 002
2024-07-22,803.9459804166669,ml_rf,RCFPPH 1100 013
2024-07-29,827.3157577380954,ml_rf,RCFPPH 1100 013
2024-08-05,766.4387957738098,ml_rf,RCFPPH 1100 013
2024-08-12,815.998304345238,ml_rf,RCFPPH 1100 013
2024-08-19,829.4065107738096,ml_rf,RCFPPH 1100 013
2024-08-26,820.141851607143,ml_rf,RCFPPH 1100 013
2024-09-02,812.9161549404761,ml_rf,RCFPPH 1100 013
2024-09-09,829.5841357738095,ml_rf,RCFPPH 1100 013
2024-09-16,813.6388666071429,ml_rf,RCFPPH 1100 013
2024-09-23,824.8870274404762,ml_rf,RCFPPH 1100 013
2024-09-30,825.7988299404763,ml_rf,RCFPPH 1100 013
2024-10-07,817.4579874404761,ml_rf,RCFPPH 1100 013
2024-07-29,2901.601308234128,ml_rf,RCFPPH 1100 099
2024-08-05,2932.723130615079,ml_rf,RCFPPH 1100 099
2024-08-12,2368.8296287499998,ml_rf,RCFPPH 1100 099
2024-08-19,2592.9590039484115,ml_rf,RCFPPH 1100 099
2024-08-26,2513.1600329960315,ml_rf,RCFPPH 1100 099
2024-09-02,2378.0824687103172,ml_rf,RCFPPH 1100 099
2024-09-09,2239.70352109127,ml_rf,RCFPPH 1100 099
2024-09-16,2219.7096422023806,ml_rf,RCFPPH 1100 099
2024-09-23,2191.244698035715,ml_rf,RCFPPH 1100 099
2024-09-30,2150.9706782738103,ml_rf,RCFPPH 1100 099
2024-10-07,2095.345382857144,ml_rf,RCFPPH 1100 099
2024-10-14,2050.9662978571446,ml_rf,RCFPPH 1100 099
2024-07-15,168.73028390873037,ml_rf,RCFPPH 1100 130
2024-07-22,157.81201509920652,ml_rf,RCFPPH 1100 130
2024-07-29,150.18537498015888,ml_rf,RCFPPH 1100 130
2024-08-05,154.20354498015888,ml_rf,RCFPPH 1100 130
2024-08-12,142.41376242063504,ml_rf,RCFPPH 1100 130
2024-08-19,143.05988176587312,ml_rf,RCFPPH 1100 130
2024-08-26,139.99239819444455,ml_rf,RCFPPH 1100 130
2024-09-02,141.29944652777792,ml_rf,RCFPPH 1100 130
2024-09-09,140.84036652777795,ml_rf,RCFPPH 1100 130
2024-09-16,137.0473729563494,ml_rf,RCFPPH 1100 130
2024-09-23,134.7422337896827,ml_rf,RCFPPH 1100 130
2024-09-30,134.8956712896827,ml_rf,RCFPPH 1100 130
2024-07-29,1308.0778946428577,ml_rf,RCFPPH 1100 141
2024-08-05,1137.696781785715,ml_rf,RCFPPH 1100 141
2024-08-12,1272.5353783928579,ml_rf,RCFPPH 1100 141
2024-08-19,1230.2296301190486,ml_rf,RCFPPH 1100 141
2024-08-26,1228.2924447619057,ml_rf,RCFPPH 1100 141
2024-09-02,1232.8569063095247,ml_rf,RCFPPH 1100 141
2024-09-09,1208.277980238096,ml_rf,RCFPPH 1100 141
2024-09-16,1201.7844914285722,ml_rf,RCFPPH 1100 141
2024-09-23,1201.852433095239,ml_rf,RCFPPH 1100 141
2024-09-30,1185.8398080952388,ml_rf,RCFPPH 1100 141
2024-10-07,1146.0840510119058,ml_rf,RCFPPH 1100 141
2024-10-14,1095.6942626785724,ml_rf,RCFPPH 1100 141
2024-07-29,437.5015288293652,ml_rf,RCFPPH 1100 424
2024-08-05,459.08559113095254,ml_rf,RCFPPH 1100 424
2024-08-12,385.4185366071428,ml_rf,RCFPPH 1100 424
2024-08-19,383.6041802380951,ml_rf,RCFPPH 1100 424
2024-08-26,359.81815773809535,ml_rf,RCFPPH 1100 424
2024-09-02,355.73030023809514,ml_rf,RCFPPH 1100 424
2024-09-09,338.7613452380951,ml_rf,RCFPPH 1100 424
2024-09-16,336.5267107142855,ml_rf,RCFPPH 1100 424
2024-09-23,336.4462132142855,ml_rf,RCFPPH 1100 424
