week,forecast,method,sheet_name
2024-07-22,851.50635,ml_xgb,MSS 0005 001
2024-07-29,860.81757,ml_xgb,MSS 0005 001
2024-08-05,785.19946,ml_xgb,MSS 0005 001
2024-08-12,718.1237,ml_xgb,MSS 0005 001
2024-08-19,692.63434,ml_xgb,MSS 0005 001
2024-08-26,566.1321,ml_xgb,MSS 0005 001
2024-09-02,475.35718,ml_xgb,MSS 0005 001
2024-09-09,478.8691,ml_xgb,MSS 0005 001
2024-09-16,469.17755,ml_xgb,MSS 0005 001
2024-09-23,474.43915,ml_xgb,MSS 0005 001
2024-09-30,451.93887,ml_xgb,MSS 0005 001
2024-10-07,455.88934,ml_xgb,MSS 0005 001
2024-07-15,392.59186,ml_xgb,MSS 0005 455
2024-07-22,373.75732,ml_xgb,MSS 0005 455
2024-07-29,339.73157,ml_xgb,MSS 0005 455
2024-08-05,340.37665,ml_xgb,MSS 0005 455
2024-08-12,307.51236,ml_xgb,MSS 0005 455
2024-08-19,299.86017,ml_xgb,MSS 0005 455
2024-08-26,296.29187,ml_xgb,MSS 0005 455
2024-09-02,296.66397,ml_xgb,MSS 0005 455
2024-09-09,295.5316,ml_xgb,MSS 0005 455
2024-09-16,295.4997,ml_xgb,MSS 0005 455
2024-09-23,281.98056,ml_xgb,MSS 0005 455
2024-09-30,293.59183,ml_xgb,MSS 0005 455
2024-07-22,168.14629,ml_xgb,MSS 0005 905
2024-07-29,164.50099,ml_xgb,MSS 0005 905
2024-08-05,148.01674,ml_xgb,MSS 0005 905
2024-08-12,168.44063,ml_xgb,MSS 0005 905
2024-08-19,180.51578,ml_xgb,MSS 0005 905
2024-08-26,184.7633,ml_xgb,MSS 0005 905
2024-09-02,173.2083,ml_xgb,MSS 0005 905
2024-09-09,185.05118,ml_xgb,MSS 0005 905
2024-09-16,185.62926,ml_xgb,MSS 0005 905
2024-09-23,182.94473,ml_xgb,MSS 0005 905
2024-09-30,176.50705,ml_xgb,MSS 0005 905
2024-10-07,182.95049,ml_xgb,MSS 0005 905
2024-07-08,199.16022,ml_xgb,MSS 0005 927
2024-07-15,216.42001,ml_xgb,MSS 0005 927
2024-07-22,214.86925,ml_xgb,MSS 0005 927
2024-07-29,214.5872,ml_xgb,MSS 0005 927
2024-08-05,214.84785,ml_xgb,MSS 0005 927
2024-08-12,214.16731,ml_xgb,MSS 0005 927
2024-08-19,220.3698,ml_xgb,MSS 0005 927
2024-08-26,219.42477,ml_xgb,MSS 0005 927
2024-09-02,208.60721,ml_xgb,MSS 0005 927
2024-09-09,207.16533,ml_xgb,MSS 0005 927
2024-09-16,201.38663,ml_xgb,MSS 0005 927
2024-09-23,202.50668,ml_xgb,MSS 0005 927
2024-07-15,177.99724,ml_xgb,RCFPPH 1100 002
2024-07-22,177.41605,ml_xgb,RCFPPH 1100 002
2024-07-29,185.86218,ml_xgb,RCFPPH 1100 002
2024-08-05,180.23265,ml_xgb,RCFPPH 1100 002
2024-08-12,185.42311,ml_xgb,RCFPPH 1100 002
2024-08-19,186.4492,ml_xgb,RCFPPH 1100 002
2024-08-26,180.39227,ml_xgb,RCFPPH 1100 002
2024-09-02,198.18893,ml_xgb,RCFPPH 1100 002
2024-09-09,197.81607,ml_xgb,RCFPPH 1100 002
2024-09-16,206.16174,ml_xgb,RCFPPH 1100 002
2024-09-23,200.48154,ml_xgb,RCFPPH 1100 002
2024-09-30,200.70111,ml_xgb,RCFPPH 1100 002
2024-07-22,1004.8211,ml_xgb,RCFPPH 1100 013
2024-07-29,947.2779,ml_xgb,RCFPPH 1100 013
2024-08-05,946.26843,ml_xgb,RCFPPH 1100 013
2024-08-12,963.3266,ml_xgb,RCFPPH 1100 013
2024-08-19,946.68286,ml_xgb,RCFPPH 1100 013
2024-08-26,947.65594,ml_xgb,RCFPPH 1100 013
2024-09-02,936.62146,ml_xgb,RCFPPH 1100 013
2024-09-09,936.7668,ml_xgb,RCFPPH 1100 013
2024-09-16,936.6739,ml_xgb,RCFPPH 1100 013
2024-09-23,936.7109,ml_xgb,RCFPPH 1100 013
2024-09-30,936.7798,ml_xgb,RCFPPH 1100 013
2024-10-07,948.8072,ml_xgb,RCFPPH 1100 013
2024-07-29,2594.7688,ml_xgb,RCFPPH 1100 099
2024-08-05,2575.5198,ml_xgb,RCFPPH 1100 099
2024-08-12,2363.9163,ml_xgb,RCFPPH 1100 099
2024-08-19,2486.0903,ml_xgb,RCFPPH 1100 099
2024-08-26,2495.9917,ml_xgb,RCFPPH 1100 099
2024-09-02,2434.5664,ml_xgb,RCFPPH 1100 099
2024-09-09,2119.808,ml_xgb,RCFPPH 1100 099
2024-09-16,2230.094,ml_xgb,RCFPPH 1100 099
2024-09-23,2138.0608,ml_xgb,RCFPPH 1100 099
2024-09-30,2134.246,ml_xgb,RCFPPH 1100 099
2024-10-07,2042.957,ml_xgb,RCFPPH 1100 099
2024-10-14,2041.7349,ml_xgb,RCFPPH 1100 099
2024-07-15,178.4817,ml_xgb,RCFPPH 1100 130
2024-07-22,150.0269,ml_xgb,RCFPPH 1100 130
2024-07-29,146.89906,ml_xgb,RCFPPH 1100 130
2024-08-05,162.48726,ml_xgb,RCFPPH 1100 130
2024-08-12,144.17453,ml_xgb,RCFPPH 1100 130
2024-08-19,138.1442,ml_xgb,RCFPPH 1100 130
2024-08-26,137.43108,ml_xgb,RCFPPH 1100 130
2024-09-02,138.06047,ml_xgb,RCFPPH 1100 130
2024-09-09,138.07053,ml_xgb,RCFPPH 1100 130
2024-09-16,148.38736,ml_xgb,RCFPPH 1100 130
2024-09-23,148.38736,ml_xgb,RCFPPH 1100 130
2024-09-30,148.88902,ml_xgb,RCFPPH 1100 130
2024-07-29,1421.7064,ml_xgb,RCFPPH 1100 141
2024-08-05,1026.3877,ml_xgb,RCFPPH 1100 141
2024-08-12,1299.6796,ml_xgb,RCFPPH 1100 141
2024-08-19,1204.5919,ml_xgb,RCFPPH 1100 141
2024-08-26,1078.5907,ml_xgb,RCFPPH 1100 141
2024-09-02,1078.5502,ml_xgb,RCFPPH 1100 141
2024-09-09,1043.5249,ml_xgb,RCFPPH 1100 141
2024-09-16,1044.4954,ml_xgb,RCFPPH 1100 141
2024-09-23,1013.6343,ml_xgb,RCFPPH 1100 141
2024-09-30,1007.34424,ml_xgb,RCFPPH 1100 141
2024-10-07,980.0853,ml_xgb,RCFPPH 1100 141
2024-10-14,1003.69226,ml_xgb,RCFPPH 1100 141
2024-07-29,389.39908,ml_xgb,RCFPPH 1100 424
2024-08-05,429.861,ml_xgb,RCFPPH 1100 424
2024-08-12,355.2987,ml_xgb,RCFPPH 1100 424
2024-08-19,333.5672,ml_xgb,RCFPPH 1100 424
2024-08-26,321.6715,ml_xgb,RCFPPH 1100 424
2024-09-02,331.0252,ml_xgb,RCFPPH 1100 424
2024-09-09,323.0498,ml_xgb,RCFPPH 1100 424
2024-09-16,332.54245,ml_xgb,RCFPPH 1100 424
2024-09-23,332.66815,ml_xgb,RCFPPH 1100 424
2024-09-30,332.66336,ml_xgb,RCFPPH 1100 424
2024-10-07,331.08936,ml_xgb,RCFPPH 1100 424
2024-10-14,331.2612,ml_xgb,RCFPPH 1100 424
2024-07-22,368.25702,ml_xgb,RCFPPH 1100 218
2024-07-29,346.93222,ml_xgb,RCFPPH 1100 218
2024-08-05,288.49838,ml_xgb,RCFPPH 1100 218
2024-08-12,286.96606,ml_xgb,RCFPPH 1100 218
2024-08-19,295.39606,ml_xgb,RCFPPH 1100 218
2024-08-26,305.06448,ml_xgb,RCFPPH 1100 218
2024-09-02,289.0892,ml_xgb,RCFPPH 1100 218
2024-09-09,288.89484,ml_xgb,RCFPPH 1100 218
2024-09-16,289.31927,ml_xgb,RCFPPH 1100 218
2024-09-23,289.09995,ml_xgb,RCFPPH 1100 218
2024-09-30,285.30762,ml_xgb,RCFPPH 1100 218
2024-10-07,282.50803,ml_xgb,RCFPPH 1100 218
2024-07-15,447.49646,ml_xgb,RCFPPH 1100 231
2024-07-22,475.8734,ml_xgb,RCFPPH 1100 231
2024-07-29,508.61908,ml_xgb,RCFPPH 1100 231
2024-08-05,412.32358,ml_xgb,RCFPPH 1100 231
2024-08-12,416.9842,ml_xgb,RCFPPH 1100 231
2024-08-19,418.51157,ml_xgb,RCFPPH 1100 231
2024-08-26,383.8844,ml_xgb,RCFPPH 1100 231
2024-09-02,391.0763,ml_xgb,RCFPPH 1100 231
2024-09-09,279.45276,ml_xgb,RCFPPH 1100 231
2024-09-16,246.36052,ml_xgb,RCFPPH 1100 231
2024-09-23,224.12956,ml_xgb,RCFPPH 1100 231
2024-09-30,220.78612,ml_xgb,RCFPPH 1100 231
2024-07-08,609.428,ml_xgb,RCFPPH 1100 326
2024-07-15,575.4764,ml_xgb,RCFPPH 1100 326
2024-07-22,571.89996,ml_xgb,RCFPPH 1100 326
2024-07-29,532.8076,ml_xgb,RCFPPH 1100 326
2024-08-05,526.9419,ml_xgb,RCFPPH 1100 326
2024-08-12,519.96985,ml_xgb,RCFPPH 1100 326
2024-08-19,519.86456,ml_xgb,RCFPPH 1100 326
2024-08-26,516.1346,ml_xgb,RCFPPH 1100 326
2024-09-02,505.9254,ml_xgb,RCFPPH 1100 326
2024-09-09,506.2888,ml_xgb,RCFPPH 1100 326
2024-09-16,506.5224,ml_xgb,RCFPPH 1100 326
2024-09-23,508.05692,ml_xgb,RCFPPH 1100 326
2024-07-22,634.97034,ml_xgb,RCFPPH 1100 420
2024-07-29,744.2095,ml_xgb,RCFPPH 1100 420
2024-08-05,478.37854,ml_xgb,RCFPPH 1100 420
2024-08-12,486.6909,ml_xgb,RCFPPH 1100 420
2024-08-19,366.27005,ml_xgb,RCFPPH 1100 420
2024-08-26,166.11006,ml_xgb,RCFPPH 1100 420
2024-09-02,145.01096,ml_xgb,RCFPPH 1100 420
2024-09-09,134.7143,ml_xgb,RCFPPH 1100 420
2024-09-16,106.41697,ml_xgb,RCFPPH 1100 420
2024-09-23,92.40317,ml_xgb,RCFPPH 1100 420
2024-09-30,69.50022,ml_xgb,RCFPPH 1100 420
2024-10-07,69.30418,ml_xgb,RCFPPH 1100 420
2024-07-22,1137.2557,ml_xgb,RCFPPH 1100 440
2024-07-29,1029.076,ml_xgb,RCFPPH 1100 440
2024-08-05,790.50836,ml_xgb,RCFPPH 1100 440
2024-08-12,1127.1537,ml_xgb,RCFPPH 1100 440
2024-08-19,1106.2725,ml_xgb,RCFPPH 1100 440
2024-08-26,1106.398,ml_xgb,RCFPPH 1100 440
2024-09-02,1015.78674,ml_xgb,RCFPPH 1100 440
2024-09-09,1095.5135,ml_xgb,RCFPPH 1100 440
2024-09-16,1070.6047,ml_xgb,RCFPPH 1100 440
2024-09-23,1070.6855,ml_xgb,RCFPPH 1100 440
2024-09-30,1066.8021,ml_xgb,RCFPPH 1100 440
2024-10-07,1067.4418,ml_xgb,RCFPPH 1100 440
2024-07-22,1562.1907,ml_xgb,RCFPPH 1100 504
2024-07-29,1520.7195,ml_xgb,RCFPPH 1100 504
2024-08-05,1510.0402,ml_xgb,RCFPPH 1100 504
2024-08-12,1288.636,ml_xgb,RCFPPH 1100 504
2024-08-19,1304.3131,ml_xgb,RCFPPH 1100 504
2024-08-26,1294.6908,ml_xgb,RCFPPH 1100 504
2024-09-02,1275.4965,ml_xgb,RCFPPH 1100 504
2024-09-09,1301.7295,ml_xgb,RCFPPH 1100 504
2024-09-16,1265.705,ml_xgb,RCFPPH 1100 504
2024-09-23,1266.425,ml_xgb,RCFPPH 1100 504
2024-09-30,1267.4927,ml_xgb,RCFPPH 1100 504
2024-10-07,1268.2839,ml_xgb,RCFPPH 1100 504
2024-07-22,291.66956,ml_xgb,RCFPPH 1100 510
2024-07-29,323.90417,ml_xgb,RCFPPH 1100 510
2024-08-05,296.4373,ml_xgb,RCFPPH 1100 510
2024-08-12,296.83594,ml_xgb,RCFPPH 1100 510
2024-08-19,296.82712,ml_xgb,RCFPPH 1100 510
2024-08-26,298.3754,ml_xgb,RCFPPH 1100 510
2024-09-02,297.99692,ml_xgb,RCFPPH 1100 510
2024-09-09,298.21683,ml_xgb,RCFPPH 1100 510
2024-09-16,298.23145,ml_xgb,RCFPPH 1100 510
2024-09-23,298.10034,ml_xgb,RCFPPH 1100 510
2024-09-30,298.48233,ml_xgb,RCFPPH 1100 510
2024-10-07,298.4119,ml_xgb,RCFPPH 1100 510
2024-07-29,1257.2803,ml_xgb,RCFPPH 1100 518
2024-08-05,1204.1545,ml_xgb,RCFPPH 1100 518
2024-08-12,1056.6226,ml_xgb,RCFPPH 1100 518
