iter	Passed	Remaining
0	0	90
1	0	75
2	1	69
3	1	65
4	1	63
5	1	61
6	2	60
7	2	59
8	2	58
9	3	57
10	3	59
11	3	62
12	4	62
13	4	62
14	5	62
15	5	61
16	5	60
17	5	59
18	6	59
19	6	58
20	6	58
21	7	57
22	7	57
23	7	56
24	7	55
25	8	55
26	8	54
27	8	54
28	9	54
29	9	53
30	9	53
31	10	52
32	10	53
33	10	53
34	11	53
35	11	53
36	12	53
37	12	52
38	12	52
39	12	51
40	13	51
41	13	50
42	13	50
43	14	50
44	14	49
45	14	49
46	14	48
47	15	48
48	15	47
49	15	47
50	16	47
51	16	46
52	16	46
53	17	46
54	17	46
55	17	46
56	18	46
57	18	45
58	19	45
59	19	45
60	19	45
61	20	45
62	20	45
63	21	44
64	21	44
65	21	43
66	21	43
67	22	43
68	22	42
69	22	42
70	23	41
71	23	41
72	23	41
73	24	41
74	24	40
75	24	40
76	25	40
77	25	39
78	25	39
79	25	38
80	26	38
81	26	38
82	26	37
83	27	37
84	27	37
85	27	36
86	27	36
87	28	35
88	28	35
89	28	35
90	28	34
91	29	34
92	29	33
93	29	33
94	29	33
95	30	32
96	30	32
97	30	31
98	31	31
99	31	31
100	31	30
101	31	30
102	32	30
103	32	29
104	32	29
105	32	29
106	33	28
107	33	28
108	33	28
109	34	27
110	34	27
111	34	27
112	34	26
113	35	26
114	35	26
115	35	25
116	36	25
117	36	25
118	36	24
119	36	24
120	37	24
121	37	23
122	37	23
123	37	23
124	38	22
125	38	22
126	38	22
127	39	21
128	39	21
129	39	21
130	39	21
131	40	20
132	40	20
133	40	20
134	41	19
135	41	19
136	41	19
137	41	18
138	42	18
139	42	18
140	42	17
141	42	17
142	43	17
143	43	16
144	43	16
145	44	16
146	44	16
147	44	15
148	45	15
149	45	15
150	45	14
151	46	14
152	46	14
153	46	14
154	47	13
155	47	13
156	47	13
157	48	12
158	48	12
159	48	12
160	49	11
161	49	11
162	49	11
163	50	11
164	50	10
165	50	10
166	51	10
167	51	9
168	51	9
169	52	9
170	52	8
171	52	8
172	52	8
173	53	7
174	53	7
175	53	7
176	54	7
177	54	6
178	54	6
179	54	6
180	55	5
181	55	5
182	55	5
183	56	4
184	56	4
185	56	4
186	57	3
187	57	3
188	57	3
189	58	3
190	58	2
191	58	2
192	58	2
193	59	1
194	59	1
195	59	1
196	59	0
197	60	0
198	60	0
199	60	0
